state,constituency_no_in_state,constituency_name,reservation_status,electors_2024
Andaman and Nicobar Islands,1,Andaman and Nicobar Islands,None,315745
Andhra Pradesh,1,Araku,ST,1557153
Andhra Pradesh,2,Srikakulam,None,1646686
Andhra Pradesh,3,Vizianagaram,None,1590994
Andhra Pradesh,4,Visakhapatnam,None,1931398
Andhra Pradesh,5,Anakapalli,None,1601365
Andhra Pradesh,6,Kakinada,None,1634921
Andhra Pradesh,7,Amalapuram,SC,1532229
Andhra Pradesh,8,Rajahmundry,None,1623852
Andhra Pradesh,9,Narasapuram,None,1473811
Andhra Pradesh,10,Eluru,None,1638116
Andhra Pradesh,11,Machilipatnam,None,1540045
Andhra Pradesh,12,Vijayawada,None,1704469
Andhra Pradesh,13,Guntur,None,1793324
Andhra Pradesh,14,Narasaraopet,None,1736162
Andhra Pradesh,15,Bapatla,SC,1511177
Andhra Pradesh,16,Ongole,None,1614525
Andhra Pradesh,17,Nandyal,None,1724191
Andhra Pradesh,18,Kurnool,None,1724191
Andhra Pradesh,19,Anantapur,None,1769264
Andhra Pradesh,20,Hindupur,None,1658529
Andhra Pradesh,21,Kadapa,None,1641349
Andhra Pradesh,22,Nellore,None,1712840
Andhra Pradesh,23,Tirupati,SC,1730318
Andhra Pradesh,24,Rajampet,None,1667385
Andhra Pradesh,25,Chittoor,SC,1643593
Arunachal Pradesh,1,Arunachal West,None,520085
Arunachal Pradesh,2,Arunachal East,None,378357
Assam,1,Kokrajhar,ST,1494404
Assam,2,Dhubri,None,2663987
Assam,3,Barpeta,None,1979051
Assam,4,Darrang-Udalguri,None,2214516
Assam,5,Guwahati,None,2039765
Assam,6,Diphu,ST,902050
Assam,7,Karimganj,None,1414520
Assam,8,Silchar,SC,1374559
Assam,9,Nagaon,None,1821023
Assam,10,Kaziranga,None,2053805
Assam,11,Sonitpur,None,1638992
Assam,12,Lakhimpur,None,1580500
Assam,13,Dibrugarh,None,1661998
Assam,14,Jorhat,None,1732944
Bihar,1,Valmiki Nagar,None,1829052
Bihar,2,Paschim Champaran,None,1759234
Bihar,3,Purvi Champaran,None,1793440
Bihar,4,Sheohar,None,1834437
Bihar,5,Sitamarhi,None,1950028
Bihar,6,Madhubani,None,1936759
Bihar,7,Jhanjharpur,None,2005278
Bihar,8,Supaul,None,1928887
Bihar,9,Araria,None,2019757
Bihar,10,Kishanganj,None,1830197
Bihar,11,Katihar,None,1834512
Bihar,12,Purnia,None,1895036
Bihar,13,Madhepura,None,2073608
Bihar,14,Darbhanga,None,1782853
Bihar,15,Muzaffarpur,None,1869072
Bihar,16,Vaishali,None,1871877
Bihar,17,Gopalganj,SC,2027054
Bihar,18,Siwan,None,1901956
Bihar,19,Maharajganj,None,1942449
Bihar,20,Saran,None,1800790
Bihar,21,Hajipur,SC,1972915
Bihar,22,Ujiarpur,None,1748377
Bihar,23,Samastipur,SC,1820016
Bihar,24,Begusarai,None,2200435
Bihar,25,Khagaria,None,1843767
Bihar,26,Bhagalpur,None,1988207
Bihar,27,Banka,None,1859967
Bihar,28,Munger,None,2051829
Bihar,29,Nalanda,None,2293994
Bihar,30,Patna Sahib,None,2295527
Bihar,31,Pataliputra,None,2080613
Bihar,32,Arrah,None,2183625
Bihar,33,Buxar,None,1934352
Bihar,34,Sasaram,SC,1914914
Bihar,35,Karakat,None,1888005
Bihar,36,Jahanabad,None,1678716
Bihar,37,Aurangabad,None,1875809
Bihar,38,Gaya,SC,1821330
Bihar,39,Nawada,None,2010286
Bihar,40,Jamui,SC,1910619
Chandigarh,1,Chandigarh,None,660552
Chhattisgarh,1,Sarguja,ST,1820880
Chhattisgarh,2,Raigarh,ST,1840847
Chhattisgarh,3,Janjgir-Champa,SC,2058260
Chhattisgarh,4,Korba,None,1620051
Chhattisgarh,5,Bilaspur,None,2103937
Chhattisgarh,6,Rajnandgaon,None,1869229
Chhattisgarh,7,Durg,None,2092551
Chhattisgarh,8,Raipur,None,2376030
Chhattisgarh,9,Mahasamund,None,1763698
Chhattisgarh,10,Bastar,ST,1473810
Chhattisgarh,11,Kanker,ST,1659374
Dadra and Nagar Haveli and Daman and Diu,1,Daman and Diu,None,134201
Dadra and Nagar Haveli and Daman and Diu,2,Dadra and Nagar Haveli,ST,283035
Delhi,1,Chandni Chowk,None,1646467
Delhi,2,North East Delhi,None,2464397
Delhi,3,East Delhi,None,2121610
Delhi,4,New Delhi,None,1526694
Delhi,5,North West Delhi,SC,2569274
Delhi,6,West Delhi,None,2592498
Delhi,7,South Delhi,None,2293698
Goa,1,North Goa,None,580710
Goa,2,South Goa,None,598934
Gujarat,1,Kachchh,SC,1943633
Gujarat,2,Banaskantha,None,1963312
Gujarat,3,Patan,None,2021772
Gujarat,4,Mahesana,None,1772048
Gujarat,5,Sabarkantha,None,1980797
Gujarat,6,Gandhinagar,None,2183402
Gujarat,7,Ahmedabad East,None,2040263
Gujarat,8,Ahmedabad West,SC,1727645
Gujarat,9,Surendranagar,None,2035001
Gujarat,10,Rajkot,None,2112726
Gujarat,11,Porbandar,None,1769594
Gujarat,12,Jamnagar,None,1818959
Gujarat,13,Junagadh,None,1796532
Gujarat,14,Amreli,None,1733367
Gujarat,15,Bhavnagar,None,1918394
Gujarat,16,Anand,None,1780709
Gujarat,17,Kheda,None,2008281
Gujarat,18,Panchmahal,None,1898234
Gujarat,19,Dahod,ST,1876247
Gujarat,20,Vadodara,None,1950123
Gujarat,21,Chhota Udaipur,ST,1822437
Gujarat,22,Bharuch,None,1723670
Gujarat,23,Bardoli,ST,2048788
Gujarat,24,Surat,None,1786287
Gujarat,25,Navsari,None,2223804
Gujarat,26,Valsad,ST,1860207
Haryana,1,Ambala,SC,2003510
Haryana,2,Kurukshetra,None,1799822
Haryana,3,Sirsa,SC,1941319
Haryana,4,Hisar,None,1799539
Haryana,5,Karnal,None,2109702
Haryana,6,Sonipat,None,1777008
Haryana,7,Rohtak,None,1913628
Haryana,8,Bhiwani-Mahendragarh,None,1821764
Haryana,9,Gurgaon,None,2584982
Haryana,10,Faridabad,None,2436637
Himachal Pradesh,1,Kangra,None,1524032
Himachal Pradesh,2,Mandi,None,1377173
Himachal Pradesh,3,Hamirpur,None,1456099
Himachal Pradesh,4,Shimla,SC,1354665
Jammu and Kashmir,1,Baramulla,None,1744525
Jammu and Kashmir,2,Srinagar,None,1748803
Jammu and Kashmir,3,Anantnag-Rajouri,None,1849517
Jammu and Kashmir,4,Udhampur,None,1640846
Jammu and Kashmir,5,Jammu,None,1818657
Jharkhand,1,Rajmahal,ST,1705708
Jharkhand,2,Dumka,ST,1592192
Jharkhand,3,Godda,None,2030444
Jharkhand,4,Chatra,None,1692698
Jharkhand,5,Koderma,None,2207845
Jharkhand,6,Giridih,None,1866763
Jharkhand,7,Dhanbad,None,2290354
Jharkhand,8,Ranchi,None,2202528
Jharkhand,9,Jamshedpur,None,1871388
Jharkhand,10,Singhbhum,ST,1449471
Jharkhand,11,Khunti,ST,1329423
Jharkhand,12,Lohardaga,ST,1448225
Jharkhand,13,Palamu,SC,2248082
Jharkhand,14,Hazaribagh,None,1942771
Karnataka,1,Chikkodi,None,1770523
Karnataka,2,Belgaum,None,1931746
Karnataka,3,Bagalkot,None,1810090
Karnataka,4,Bijapur,SC,1947976
Karnataka,5,Gulbarga,SC,2098778
Karnataka,6,Raichur,ST,2010441
Karnataka,7,Bidar,None,1894364
Karnataka,8,Koppal,None,1867016
Karnataka,9,Bellary,ST,1884472
Karnataka,10,Haveri,None,1794394
Karnataka,11,Dharwad,None,1834015
Karnataka,12,Uttara Kannada,None,1645721
Karnataka,13,Davanagere,None,1709809
Karnataka,14,Shimoga,None,1753615
Karnataka,15,Udupi Chikmagalur,None,1585721
Karnataka,16,Hassan,None,1738818
Karnataka,17,Dakshina Kannada,None,1818127
Karnataka,18,Chitradurga,SC,1857385
Karnataka,19,Tumkur,None,1661834
Karnataka,20,Mandya,None,1780149
Karnataka,21,Mysore,None,2094310
Karnataka,22,Chamarajanagar,SC,1778667
Karnataka,23,Bangalore Rural,None,2802956
Karnataka,24,Bangalore North,None,3215291
Karnataka,25,Bangalore Central,None,2434254
Karnataka,26,Bangalore South,None,2341895
Karnataka,27,Chikballapur,None,1981767
Karnataka,28,Kolar,SC,1728198
Kerala,1,Kasaragod,None,1455530
Kerala,2,Kannur,None,1363080
Kerala,3,Vatakara,None,1424792
Kerala,4,Wayanad,None,1464472
Kerala,5,Kozhikode,None,1432508
Kerala,6,Malappuram,None,1480714
Kerala,7,Ponnani,None,1471260
Kerala,8,Palakkad,None,1400914
Kerala,9,Alathur,SC,1340183
Kerala,10,Thrissur,None,1483783
Kerala,11,Chalakudy,None,1311257
Kerala,12,Ernakulam,None,1324757
Kerala,13,Idukki,None,1251172
Kerala,14,Kottayam,None,1256138
Kerala,15,Alappuzha,None,1406689
Kerala,16,Mavelikara,SC,1339159
Kerala,17,Pathanamthitta,None,1433956
Kerala,18,Kollam,None,1330873
Kerala,19,Attingal,None,1401114
Kerala,20,Thiruvananthapuram,None,1434657
Ladakh,1,Ladakh,None,190576
Lakshadweep,1,Lakshadweep,ST,57953
Madhya Pradesh,1,Morena,None,2015928
Madhya Pradesh,2,Bhind,SC,1913389
Madhya Pradesh,3,Gwalior,None,2160206
Madhya Pradesh,4,Guna,None,1890695
Madhya Pradesh,5,Sagar,None,1746640
Madhya Pradesh,6,Tikamgarh,SC,1827976
Madhya Pradesh,7,Damoh,None,1926000
Madhya Pradesh,8,Khajuraho,None,1998536
Madhya Pradesh,9,Satna,None,1708823
Madhya Pradesh,10,Rewa,None,1859439
Madhya Pradesh,11,Sidhi,None,2030095
Madhya Pradesh,12,Shahdol,ST,1778158
Madhya Pradesh,13,Jabalpur,None,1898180
Madhya Pradesh,14,Mandla,ST,2103244
Madhya Pradesh,15,Balaghat,None,1875760
Madhya Pradesh,16,Chhindwara,None,1634721
Madhya Pradesh,17,Hoshangabad,None,1858158
Madhya Pradesh,18,Vidisha,None,1946631
Madhya Pradesh,19,Bhopal,None,2339411
Madhya Pradesh,20,Rajgarh,None,1876672
Madhya Pradesh,21,Dewas,SC,1943559
Madhya Pradesh,22,Ujjain,SC,1800347
Madhya Pradesh,23,Mandsaur,None,1900808
Madhya Pradesh,24,Ratlam,ST,2095109
Madhya Pradesh,25,Dhar,ST,1955117
Madhya Pradesh,26,Indore,None,2527978
Madhya Pradesh,27,Khargone,ST,2046409
Madhya Pradesh,28,Khandwa,None,2112874
Madhya Pradesh,29,Betul,ST,1897989
Maharashtra,1,Nandurbar,ST,1971324
Maharashtra,2,Dhule,None,2025275
Maharashtra,3,Jalgaon,None,2000402
Maharashtra,4,Raver,None,1823827
Maharashtra,5,Buldhana,None,1787095
Maharashtra,6,Akola,None,1894657
Maharashtra,7,Amravati,SC,1838767
Maharashtra,8,Wardha,None,1684292
Maharashtra,9,Ramtek,SC,2050952
Maharashtra,10,Nagpur,None,2224282
Maharashtra,11,Bhandara-Gondiya,None,1830399
Maharashtra,12,Gadchiroli-Chimur,ST,1618690
Maharashtra,13,Chandrapur,None,1839760
Maharashtra,14,Yavatmal-Washim,None,1942461
Maharashtra,15,Hingoli,None,1819082
Maharashtra,16,Nanded,None,1853532
Maharashtra,17,Parbhani,None,2124497
Maharashtra,18,Jalna,None,1969953
Maharashtra,19,Aurangabad,None,2061220
Maharashtra,20,Dindori,ST,1857924
Maharashtra,21,Nashik,None,2033175
Maharashtra,22,Palghar,ST,2148850
Maharashtra,23,Bhiwandi,None,2087604
Maharashtra,24,Kalyan,None,2082800
Maharashtra,25,Thane,None,2508072
Maharashtra,26,Mumbai North,None,1812115
Maharashtra,27,Mumbai North West,None,1735295
Maharashtra,28,Mumbai North East,None,1637292
Maharashtra,29,Mumbai North Central,None,1744297
Maharashtra,30,Mumbai South Central,None,1474660
Maharashtra,31,Mumbai South,None,1536443
Maharashtra,32,Raigad,None,1669722
Maharashtra,33,Maval,None,2585776
Maharashtra,34,Pune,None,2062172
Maharashtra,35,Baramati,None,2374884
