sector,total_sanctioned_cost_lakh,total_works_sanctioned
Drinking Water Facility,22891.772,12565
Education,24557.326,6915
Electricity Facility,20165.219,5814
Health And Family Welfare,8356.03,1347
Irrigation Facilities,5846.757,793
Non-Conventional Energy Sources,8596.704,1510
Other Public Facilities,70239.213,17759
"Railways, Roads, Pathways And Bridges",115162.085,24428
Sanitation And Public Health,9228.689,2448
Sports,5288.94,1641
Works Relating To Agriculture,239.76,51
"Works Relating To Animal Husbandry, Dairy And Fisheries",957.591,183
Works Relating To Cluster Development For Handloom Weavers,15,1
Works Relating To Urban Development,355.278,94
Total,291900.364,75549
