state_ut,total_funds_released_cr,amount_available_with_interest_cr,cumulative_amount_recommended_cr,cumulative_amount_sanctioned_cr,pct_sanctioned_over_release,expenditure_incurred_cr,pct_utilisation_over_release,unspent_balance_cr
A & N Islands,70.05,78.95,131.69,73.14,104.41,75.09,106.48,3.86
Andhra Pradesh,3233.9,3441.53,3850.29,3584.03,110.83,3221.05,99.44,220.47
Arunachal Pradesh,207.65,210.57,227.59,204.81,98.63,205.56,98.75,5
Assam,1382.55,1414.91,1359.3,1323.62,95.74,1276.82,92.19,138.09
Bihar,3537.4,3788.14,4479.34,3807.48,107.63,3545.07,100.03,243.07
Chandigarh,67.55,74.64,80.33,86.49,128.04,71.94,105.83,2.7
Chhattisgarh,1100.25,1168.1,1406.68,1114.87,101.33,1103.78,99.82,64.32
D & N Haveli,62.55,64.9,117.06,79.03,126.34,64.75,103.51,0.15
Daman & Diu,65.05,66.12,135.69,66.93,102.89,60.34,92.77,5.77
Delhi,480.5,580.11,1011.68,682.21,141.98,535.11,110.7,45
Goa,165.15,183.06,240.34,192.13,116.34,165.96,100.15,17.1
Gujarat,2457.85,2620.82,3018.54,2609.73,106.18,2464.18,99.7,156.64
Haryana,992.75,1027.84,1219.26,998.11,100.54,935.98,93.62,91.86
Himachal Pradesh,479.8,505.13,487.95,476.12,99.23,447.24,92.76,57.9
Jammu & Kashmir,619.8,650.75,689.07,657.74,106.12,587.61,94.29,63.14
Jharkhand,1211.75,1242.12,1364.2,1158.3,95.59,1100.59,90.61,141.53
Karnataka,2528.5,2621.52,2763.47,2605.17,103.03,2377.92,93.73,243.6
Kerala,1829.45,1992.71,2529.9,2110.08,115.34,1907.52,103.66,85.19
Lakshadweep,57.55,67.95,105.21,75.33,130.89,61.65,107.12,6.31
Madhya Pradesh,2717,2833.18,3164.96,2742.24,100.93,2615.51,95.87,217.67
Maharashtra,4123.45,4477.73,5959.16,4705.3,114.11,4149.83,100.47,327.9
Manipur,207.65,213.07,206.6,204.18,98.33,199.54,95.81,13.53
Meghalaya,205.15,209.79,207.96,200.45,97.71,197.89,95.78,11.9
Mizoram,137.6,139.36,138.43,138.44,100.61,138.26,100.12,1.09
Nagaland,137.6,138.09,132.63,107.63,78.22,130.44,94.65,7.65
Nominated,709.05,747.88,813.52,731.6,103.18,662.79,93.09,85.09
Odisha,2017.05,2086.25,2251.42,1981.19,98.22,1861.27,91.91,224.98
Puducherry,121.6,132.54,189.61,147.17,121.03,124.82,101.95,7.72
Punjab,1336.05,1401.53,1454.24,1332.21,99.71,1296.63,96.46,104.9
Rajasthan,2275.25,2339.69,2517.64,2275.03,99.99,2088.63,91.34,251.06
Sikkim,135.1,142.04,143.81,138.36,102.41,133.43,97.99,8.6
Tamil Nadu,3754.86,3906.23,4102.33,3936.7,104.84,3723.13,98.79,183.1
Telangana,517,595.15,759.79,681.64,131.85,533.08,101.82,62.07
Tripura,186.65,190.41,184,182.34,97.69,176.83,94.18,13.58
Uttar Pradesh,7307.2,7528.19,7782.54,7244.29,99.14,6953.07,94.79,575.12
Uttarakhand,472.75,489,483.91,470.05,99.43,425.17,89.65,63.83
West Bengal,3723.69,3965.26,4143.77,3865.96,103.82,3773.74,100.71,191.52
Total,50634.75,53335.26,59853.91,52990.1,104.65,49392.22,97.55,3943.01
