state_ut,total_sanctioned_cost_lakh,total_works_sanctioned
Andhra Pradesh,6142.323,2040
Assam,167.298,12
Bihar,9030.762,1834
Chandigarh,17.849,1
Chhattisgarh,20510.83,5763
Gujarat,13246.15,6329
Haryana,8036.916,1902
Himachal Pradesh,104.409,88
Jammu & Kashmir,963.09,676
Jharkhand,4914.637,1301
Karnataka,10118.95,2482
Kerala,2924.132,469
Madhya Pradesh,5385.971,2089
Maharashtra,14438.58,3877
Meghalaya,1395.141,576
Mizoram,1047.19,213
Nagaland,0.012,70
Nominated,84.221,10
Odisha,11454.454,4409
Punjab,26443.818,13335
Rajasthan,5580.981,1258
Sikkim,2889.352,311
Tamil Nadu,49269.578,7166
Telangana,14280.358,3961
Uttar Pradesh,29741.774,4625
Uttarakhand,228.35,44
West Bengal,44452.695,8150
Total,282869.81,72991
