financial_year,allocation_cr,funds_released_cr,cumulative_release_cr
1993-94,39.5,37.8,37.8
1994-95,790,771,808.8
1995-96,790,763,1571.8
1996-97,790,778,2349.8
1997-98,790,488,2837.8
1998-99,1580,789.5,2837.8
1999-00,1580,1390.5,5017.8
2000-01,1580,2080,7097.8
2001-02,1580,1800,8897.8
2002-03,1580,1600,10497.8
2003-04,1580,1682,12179.8
2004-05,1580,1310,13489.8
2005-06,1580,1433.9,14923.7
2006-07,1580,1451.5,16375.2
2007-08,1580,1470.55,17845.8
2008-09,1580,1580,19425.8
2009-10,1580,1531.5,20957.3
2010-11,1580,1533.32,22490.6
2011-12,3950,2507.68,24998.3
2012-13,3950,3722,28720.3
2013-14,3950,3937,32657.3
2014-15,3950,3350,36007.3
2015-16,3950,3502,39509.3
2016-17,3950,3499.5,43008.8
